titulo,texto,url , classificação,data,
"Em Vale Tudo, Aldeíde vira mãe de bebê reborn e rebate críticas: 'É a minha vida'","Além de adotar a moda monocromática em Vale Tudo, Aldeíde (Karine Teles) embarcará em outra febre da vida real: a dos bebês reborn. A secretária da TCA comprará uma boneca ultrarrealista e será criticada por Consuêlo ""Eu gosto de fingir que ela é um bebê. E daí? É a minha vida!"", rebaterá a ruiva na novela das nove da Globo. Segundo a colunista Carla Bittencourt, do portal Leo Dias, a autora Manuela Dias decidiu abordar no remake o assunto que tomou conta das redes sociais nas últimas semanas. César (Cauã Reymond) e Olavo (Ricardo Teodoro) passarão a contrabandear os bonecos em cenas previstas para irem ao ar a partir de 3 de junho. Aldeíde comprará sua ""filha"" justamente do amante de Fátima (Bella Campos), mesmo se endividando para isso. ""Ah, que linda! Minha bebezinha reborn! Você vai se chamar… Amelie!"", dirá a secretária, toda emocionada. A irmã de Poliana (Matheus Nachtergaele) tratará a boneca como uma criança real e comprará até enxoval, além de combinar suas roupas com ela e levá-la para o trabalho.",https://noticiasdatv.uol.com.br/noticia/novelas/em-vale-tudo-aldeide-vira-mae-de-bebe-reborn-e-rebate-criticas-e-a-minha-vida-137002,comercial,28/05/2025,
Câmara aprova multa de R$ 3.700 a quem buscar benefícios para bebês reborn,"A Câmara de Ribeirão Preto (SP) aprovou o projeto de lei que multará em até R$ 3.700 o uso de ‘bebês reborn’ para obter benefícios destinados a mães de crianças de colo. Em caso de reincidência, o valor poderá dobrar. A proposta, aprovada por 19 votos a 3, tem como objetivo destinar os valores arrecadados aos fundos municipais para a infância. A medida ainda aguarda sanção do prefeito.",https://noticias.r7.com/sao-paulo/interior/sp-record-interior-sp/camara-aprova-multa-de-r-3700-a-quem-buscar-beneficios-para-bebes-reborn-27052025/,comercial ,27/05/2025,
Hype de bebês reborn expõe dificuldade de distribuição e relevância do jornalismo,"Você não deve mais aguentar ouvir falar sobre os bebês reborn. Eles se tornaram um dos assuntos mais falados nas redes sociais. Vídeos de “adoções”, maternidades cenográficas e influenciadores emocionados conquistam milhões de visualizações.

Mas, fora da bolha digital, esse mercado é bem mais modesto do que as métricas de engajamento fazem parecer.

O mercado real por trás do hype
Dados da coluna de Renato Dolci, no InfoMoney, indicam que o mercado global de bebês reborn movimentou cerca de US$ 200 milhões em 2024. Parece impressionante, mas é uma fração do setor de bonecas, que ultrapassa os US$ 24 bilhões por ano. No Brasil, onde as buscas por “bebê reborn” lideram no Google Trends, as vendas são modestas. A loja “Minha Infância”, em Belo Horizonte, por exemplo, vende entre 20 e 30 unidades por mês, com faturamento em torno de R$ 40 mil. Esse número só triplica em datas comemorativas como o Dia das Crianças e o Natal.

Há muito barulho para pouco volume de vendas. E essa desconexão entre interesse digital e mercado real expõe um problema central para o jornalismo.

O que viraliza nem sempre vende
Essa diferença gritante entre o interesse online e as vendas reais levanta uma questão incômoda com como os critérios de noticiabilidade mudaram na era digital. Antes, no auge dos jornais impressos, o que determinava a cobertura era a relevância social, impacto público e atualidade. Não era perfeito, mas havia uma lógica mais consistente entre a importância de uma história e seu espaço nas manchetes. A armadilha dos algoritmos e o risco para o jornalismo
Essa inversão de prioridades é um efeito do modelo de distribuição atual, que depende de algoritmos de plataformas como Google, Facebook e TikTok. Essas ferramentas empurram conteúdos que provocam reações rápidas, mas raramente refletem a importância ou a profundidade do assunto.

Isso cria uma pressão constante para que jornalistas produzam o que é mais provável de viralizar, mesmo que não seja o mais relevante.

No caso dos bebês reborn, essa dinâmica resultou até em propostas de legislação para regular o uso dessas bonecas em serviços públicos de saúde, mesmo sem registros oficiais de atendimentos médicos a bebês reborn no Brasil.

Além disso, alguns casos de supostos atendimentos a bebês reborn em hospitais e ambientes profissionais viralizaram sem o rigor de checagem de fatos, ampliando a percepção equivocada sobre a relevância desse tema.

Isso é um exemplo claro de como a busca por engajamento, sem o filtro jornalístico, também pode ser um estímulo ao surgimento de fake news, minando ainda mais a confiança do público nas mídias tradicionais.

Como recuperar a relevância no jornalismo digital
Para os veículos de comunicação que querem sobreviver nesse cenário, é preciso repensar suas métricas e prioridades editoriais. A lógica do clique fácil pode ser atraente no curto prazo, mas prejudica a credibilidade no longo. Em vez de focar apenas no que gera tráfego, é hora de equilibrar o que é popular com o que é importante.

Jornalistas nunca foram e nem devem ser os donos absolutos da definição do que é relevante para a população. O jornalismo, historicamente, sempre caminhou entre o que considera essencial para o interesse público e aquilo que o público está disposto a consumir.

Há uma dificuldade histórica em transformar temas importantes, mas complexos, em formatos palatáveis, acessíveis e interessantes para o público geral. Assuntos que exigem aprofundamento ou que não oferecem um apelo emocional imediato acabam ficando restritos a nichos especializados ou sendo ignorados.

Por isso, incluir a audiência como critério principal de noticiabilidade é um caminho perigoso. Embora pareça uma forma de se manter relevante, essa estratégia pode comprometer o papel social do jornalismo, que é informar com responsabilidade e profundidade.",https://www.infomoney.com.br/colunistas/flavio-moreira/hype-de-bebes-reborn-expoe-dificuldade-de-distribuicao-e-relevancia-do-jornalismo/,comercial,28/05/2025,
 Moradora de Guabiruba transforma a vida ao adotar bebê reborn como filha,"Em uma casa acolhedora situada na rua Lorena, em Guabiruba, vivem Denise Helena Lofhagen e sua mãe, Lucia, compartilhando uma relação de carinho e cumplicidade. O que torna essa residência especial, no entanto, não é apenas o vínculo entre mãe e filha, mas também a presença de um terceiro membro da família: Lisy, uma bebê reborn tratada com todo o cuidado e afeto de uma criança real.

Novo capítulo em Guabiruba
A trajetória de Denise passou por uma mudança significativa após o diagnóstico de sua mãe, que descobriu a Paralisia Supranuclear Progressiva (PSP), uma forma rara da doença de Parkinson.

Diante dessa realidade, pois, e sendo filha única, ela se viu assumindo uma série de responsabilidades que, gradualmente, impactaram sua saúde emocional.

A convivência com a rotina de cuidados e a preocupação constante com o bem-estar materno contribuíram para o desenvolvimento de um quadro de ansiedade.

Foi nesse cenário que então surgiu a primeira aproximação com o universo dos bebês reborn.

Inicialmente, tudo começou com um anúncio visualizado nas redes sociais e o realismo da imagem chamou a atenção.

Ao aprofundar-se nas informações, Denise descobriu que esses bebês, produzidos de forma artesanal, são amplamente utilizados como recurso terapêutico por adultos que enfrentam transtornos como ansiedade e depressão.

Curiosamente, por serem peças delicadas, não são indicados para o público infantil. Rotina transformada em Guabiruba
Diante de um interesse cada vez maior, Denise decidiu visitar um ateliê especializado, na cidade de Blumenau, para conhecer de perto esse tipo de trabalho.

O contato direto com os detalhes — o peso, a textura, o acabamento — intensificou o encantamento.

O resultado foi imediato: naquela mesma ocasião, ela escolheu e adquiriu sua bebê reborn, que mais tarde recebeu o nome de Lisy.

A bebê chegou em Guabiruba cuidadosamente embalada, acompanhada de um enxoval inicial composto por manta, roupinha, chupeta, fralda e até certidão de nascimento.

A partir desse momento, algo novo começou a florescer no cotidiano de Denise.

Motivada pelo carinho que já nutria pela nova companheira, ela passou a ampliar o enxoval de forma contínua.

Primeiro foi a cadeirinha de bebê, depois vieram dezenas de peças de roupas, 24 pares de sapatinhos, mais de 20 chupetas, vários pacotes de fraldas, um berço artesanal, carrinho de passeio e uma cadeirinha vibratória com música.

O quarto foi decorado exclusivamente para Lisy, com atenção aos mínimos detalhes. Questionamentos
No entanto, a dedicação de Denise também trouxe questionamentos.

Ao compartilhar imagens de Lisy nas redes sociais, surgiram críticas de pessoas que não compreenderam sua escolha.

Comentários como “por que não adotar uma criança de verdade?” foram frequentes. Apesar disso, ela manteve-se firme.

Para Denise, a decisão de não ter filhos foi consciente, e a escolha por um bebê reborn representa justamente uma forma de viver o afeto sem sobrecarregar ainda mais sua rotina, já marcada pelo cuidado integral com a saúde debilitada de sua mãe.

Segundo ela, Lisy está ali para os momentos em que precisa, oferecendo acolhimento e serenidade nos períodos de ansiedade.

“Tenho plena consciência de que ela não tem vida. Mas a presença dela tem um efeito terapêutico real. Ela me ajuda a acalmar a mente quando os pensamentos se agitam”, explica.

Além disso, todas as decisões em torno de Lisy contam com o apoio de Lucia, que participa ativamente da rotina da filha.

Juntas, inclusive, costumam frequentar estabelecimentos especializados para escolher novas peças do enxoval, fortalecendo ainda mais a relação entre as duas. Um universo de acolhimento 
O mundo reborn tem ganhado cada vez mais adeptos, especialmente entre adultos que buscam conforto emocional em meio a perdas, desafios familiares ou quadros adversos de saúde.

Longe de ser uma fantasia, ele representa um refúgio legítimo para quem precisa se reconectar consigo mesmo por meio do cuidado e da delicadeza.

No caso de Denise, o universo reborn não é uma fuga da realidade, mas sim uma forma sensível de enfrentá-la.

Entre roupas delicadamente organizadas, acessórios pensados com carinho e o brilho no olhar ao falar da filha simbólica, Lisy tornou-se parte essencial de uma história que fala de amor, superação e escolha consciente.

Em meio ao silêncio do cuidado, nasceu um novo capítulo — e ele tem nome, berço, enxoval e espaço garantido no coração de quem o vive.",https://omunicipio.com.br/moradora-de-guabiruba-transforma-a-vida-ao-adotar-bebe-reborn-como-filha/,emocional ,24/05/2025,
Bebês Reborn,"Também nesta edição, vamos falar sobre a onda dos bebês reborn, bonecas que reproduzem com perfeição os traços de recém-nascidos reais. Embora seja um tema atual, os bonecos reborn existem desde a década de 1990, mas o que vemos agora é um novo boom, que se conecta ao avanço da inteligência artificial e à forma como as pessoas se relacionam. Na Câmara, já tramitam propostas que abordam esse tema. Entre elas, destaca-se a do deputado Dr. Zacharias Calil (União-GO) que dispõe sobre a aplicação de sanção administrativa a quem utilizar boneca do tipo “bebê reborn” ou artifício similar para obter benefícios destinados a crianças de colo e dá outras providências. Para falar sobre esse assunto, nossos convidados são o deputado Dr. Zacharias Calil (União-GO) e Alessandra Arrais, psicóloga perinatal.",https://www.camara.leg.br/radio/programas/1162299-sequelas-do-zika-virus-leste-europeu-bebes-reborn-jazz-no-ccbb/,,23/05/2025,
"A crise dos bebês reborn… na civilização dos zumbis, por Fábio de Oliveira Ribeiro","A crise dos bebês reborn… na civilização dos zumbis

por Fábio de Oliveira Ribeiro

Nos últimos dias parece que o único assunto que movimenta imprensa são os bebês reborn. Os bonecos e bonecas com aparência humana podem ser considerados mais importantes do que as crianças exterminadas em Gaza por tropas israelenses? A resposta é NÃO, mas do ponto de vista jornalístico parece que a resposta é SIM.

O assunto capturou minha atenção, mas preferi abordá-lo de maneira sarcástica na série Zombies Who Live, que tenho escrito aos poucos e publicado na internet. A crise dos bebês reborn naquele universo fictício monstruoso (em que uma civilização normalizada de zumbis domina o mundo e os humanos foram reduzidos à condição alimento mantido em reservas de alimentação) é tratada no capítulo 35. A série tem sido escrita originalmente em inglês, reproduzo aqui em língua portuguesa apenas o episódio mencionado. Já vimos em capítulos anteriores como a civilização zumbi é extremamente tolerante. A única coisa que realmente faz a administração da cidade zumbi funcionar é a preocupação com o controle do estoque, manejo e cuidados sanitários na reserva humana para garantir a disponibilidade de alimentos.

As regras e regulamentos relativos à seleção e ao abate de humanos são aplicados com muito rigor, assim como aqueles relativos à distribuição de comida aos zumbis. Não há exceções, e devorar um bebê requer permissão especial, que geralmente é demorada e difícil de obter quando a pessoa que fez o pedido é um zumbi comum. Apenas os casos de pedidos feitos por zumbis de elite são realmente avaliados e eventualmente atendidos.

Tudo estava normal na cidade zumbi até que ela foi abalada por dois escândalos inter-relacionados. Um dia, um zumbi que gostava de observar pássaros com seu binóculo viu uma cena que o deixou com água na boca. A poucos quarteirões do prédio onde morava, ele viu um zumbi mordendo um bebê suculento na sacada do prédio. Ok, ele deve ter permissão, pensou o observador de pássaros.

Mas, alguns dias depois, ao apontar o binóculo para o mesmo local, ele viu o mesmo zumbi mordendo outro bebê suculento. Isso era inaceitável, um caso claro de aplicação seletiva da Lei de Distribuição de Alimentos. Irritado, aquele zumbi cidadão de bem contatou um jornalista zumbi e relatou o ocorrido.

Cuidadoso, o jornalista foi à casa do informante para confirmar pessoalmente os fatos. Em duas ocasiões distintas, ele viu o mesmo zumbi mordendo bebês suculentos. Pronto, o escândalo foi confirmado e estampado na primeira página do principal jornal zumbi. As fotos não ficaram muito boas, pois o tempo estava ruim quando foram tiradas.

As autoridades imediatamente ordenaram uma investigação. Em pouco tempo, as engrenagens burocráticas da cidade zumbi estavam em movimento. O zumbi comedor de bebês foi devidamente identificado. Certificados foram anexados ao processo, comprovando que aquele zumbi em particular nunca havia solicitado ou obtido permissão especial para devorar bebês. O risco de mercado negro levou as autoridades a aumentar a vigilância de bebês humanos na reserva de alimentos.

Uma divisão especial de policiais zumbis foi designada para observar o suspeito e prendê-lo em flagrante caso ele comesse um bebê novamente sem permissão. Quando o apartamento foi finalmente arrombado e o infrator foi preso a polícia não encontrou nenhum vestígio do bebê comido para análise. Mas o caso prosseguiu devido à abundância de depoimentos sobre o ato criminoso cometido.

No dia da audiência e julgamento do caso, o réu foi defendido pelo advogado que já havia se tornado famoso em um caso anterior relatado nesta saga. Na abertura da defesa, ele alegou que o crime sob investigação era impossível, seu cliente não havia comido nenhum bebê sem permissão oficial nem o havia comprado no mercado negro. Durante a oitiva das testemunhas, o advogado permaneceu em silêncio e não fez perguntas.

O promotor fez o melhor que pôde e, no final, pediu a condenação, pois as provas testemunhais eram inquestionáveis. O vizinho, o jornalista e três policiais viram através de binóculos em dias diferentes o réu, aquele réu zumbi em particular, mordendo bebês suculentos na varanda de seu apartamento.

Quando chegou a hora de o advogado apresentar a defesa, ele tirou da bolsa uma imitação perfeita de um bebê e a entregou ao réu. Conforme combinado, o réu mordeu o bebê reborn e o jogou no chão. Aquela cena teatral causou espanto em todos. O advogado se levantou, foi até o bebê rebonr e pisou nele, para confirmar que não se tratava de algo vivo, mas sim de um objeto fabricado nos tempos antigos da humanidade.

“Como podem ver, senhores jurados, Sr. Promotor, Meritíssimo Juiz. Meu cliente nunca devorou ​​um bebê humano. Não há provas materiais (restos mortais de um bebê humano) que comprovem o crime. O que ele estava fazendo na sacada de seu prédio era morder este boneco fabricada no passado por humanos, que ele adquiriu há algum tempo. Nenhum crime foi cometido e a acusação se refere a um crime impossível porque, felizmente, bebês humanos são qualitativamente diferentes do bebê reborn mordida pelo meu cliente. Não há lei que proíba meu cliente de fazer isso, então a defesa encerra esta sustentação e exige a absolvição do réu.”

Desta vez, o juiz teve que apertar a mão do advogado. E ele bateu o martelo no promotor, no jornalista, no denunciante e nos policiais. Era inaceitável que tantos zumbis tivessem sido estúpidos o suficiente para cometer o erro imperdoável de confundir um bebê humano com um reles bebê reborn. O caso está encerrado, o réu está livre para prosseguir sem que nenhuma informação prejudicial seja adicionada ao seu arquivo. E você pode levar seu bebê artificial com você em paz, acrescentou o juiz.

Mas depois o caso tomou um rumo diferente. Durante a intensificação da vigilância de humanos bebês na reserva, as autoridades descobriram que uma rede subterrânea de zumbis estava infiltrando centenas de bebês reborn antigos na reserva. Isso poderia causar um declínio na taxa de natalidade do estoque humano e interromper o futuro suprimento de alimentos para os cidadãos zumbis.

Investigações posteriores ligaram a rede zumbi que traficava os bebês reborn para a reserva ao líder de um culto zumbi que se recusava a comer humanos vivos e se limitava a comer cadáveres. Isso fazia parte de um plano maior para causar fome entre os zumbis, para que começassem a mudar sua dieta para os cadáveres enterrados, abundantes em cemitérios humanos.

Isso é estritamente proibido, absurdo, repugnante, horrível e escandaloso. Um zumbicídio estava sendo planejado e executado silenciosamente em plena luz do dia. Os envolvidos deveriam ser identificados e punidos com toda a força e severidade da Lei Zumbi, decretou a administração central. Todos os bebês reborn antigas teriam que ser coletadas e destruídas, e sua produção seria estritamente proibida para sempre.

Após o escândalo, um jornalista levantou a hipótese de que o caso criminal original envolvendo o zumbi que mordeu um bebê reborn na sacada de seu apartamento havia sido habilmente arquitetado pelo serviço secreto. As autoridades precisavam criar a atmosfera pública necessária para pôr fim de uma vez por todas ao problema dos bonecos e bonecas com aparência humana na reserva de alimentos e para poder suprimir uma facção perigosa e poderosa de zumbis fanáticos que comiam cadáveres enterrados e ameaçavam, de dentro para fora, os alicerces e a perpetuação da civilização zumbi.

Essa notícia não provocou nenhuma reação política. Os cidadãos zumbis de bem estavam felizes e certos de que não passariam fome agora ou no futuro.”

A crise fake dos bebês reborn é o novo queridinho do jornalismo caça-cliques. Não é a primeira vez que um fenômeno sem muita relevância se tornou economicamente essencial porque foi capaz de gerar lucro em virtude do imenso engajamento emocional que despertou. Os veículos de comunicação, grandes e pequenos, correm atrás dos cliques produzidos pelos bebês reborn porque um Tsunami de dados continua a ser gerado em torno deles no Facebook e no Google. Ao que parece, o modelo de financiamento das plataformas de internet dominou e esvaziou totalmente a racionalidade jornalística.

Os websites de vendas também crescem os olhos no fenômeno. E oferecem bebês reborn de diversos modelos com preços para todos os bolsos. O capitalismo hierarquiza economicamente os consumidores, mas equaliza-os do ponto de vista psicopatológico.

A coisa toda não deixa de ser um tanto paradoxal. Afinal, as classes média e alta tem uma taxa de natalidade menor do que a classe baixa, mas os lucros totais a serem obtidos com o fetiche dos bebês reborn será imensamente maior se eles se tornarem mais populares na classe baixa. No topo da pirâmide econômica os bonecos e bonecas com aparência humana funcionam como substitutos para filhos reais que não são desejados. Na base, eles podem provocar uma redução de natalidade uma explosão de despesas do SUS com tratamentos psiquiátricos e psicológicos. Um aumento da violência conjugal deve ser esperado caso essa tendência ganhe força? A resposta a essa pergunta só poderá ser dada no futuro.",https://jornalggn.com.br/cidadania/a-crise-dos-bebes-reborn-por-fabio-de-oliveira-ribeiro/,comercial,21/05/2025,
Bebê reborn: prefeitura no MS aproveita onda das bonecas realistas para incentivar vacinação,"A prefeitura de Campo Grande, no Mato Grosso do Sul, usou os bebês reborns - bonecas realistas que se assemelham a recém-nascidos - para incentivar uma campanha de vacinação municipal contra a gripe. O tema tem ganhado destaque nas últimas semanas.

Em uma postagem realizada nas redes sociais da prefeitura, neste sábado, 17, a administração municipal alerta que ""bebês reborns não pegam gripe"", mas que os humanos, sim. ""Bebê reborn pode ser brincadeira, mas a gripe precisa ser levada a sério"", diz a publicação.

Na sequência, o post informa os endereços dos locais onde as pessoas podem se vacinar na cidade, neste final de semana. Os usuários aprovaram a ideia e elogiaram a criatividade da campanha. Procurada para comentar a estratégia utilizada, a prefeitura de Campo Grande não retornou os contatos da reportagem até a publicação do texto.

O tema tem ganhado destaque recente nas redes sociais, com adultos brincando com as bonecas hiper-realistas e até as tratando como pessoas de verdade.

O assunto ganhou tamanha relevância que a discussão saiu do meio digital e adentrou o campo legislativo. Avisos e projetos de lei têm sido protocolados, no âmbito estadual e federal, para impedir que os donos destes brinquedos utilizem as bonecas para usufruir do serviço público.

Em Curitiba, capital do Paraná, a prefeitura local emitiu um aviso dizendo que os ""pais"" de bebês reborns não podem usar assentos preferenciais em ônibus.

Na Câmara Federal e na Assembleia Legislativa de São Paulo, projeto de leis foram apresentados prevendo multa a quem solicitar prioridade no atendimento no SUS, o Sistema Universal de Saúde, por conta dos bebês realistas.","https://www.folhape.com.br/noticias/bebe-reborn-prefeitura-no-ms-aproveita-onda-das-bonecas-realistas/411979/
",emocional ,17/05/2025,
"  Reborns, papel amassado e pressões reais: a maternidade incompleta na obra de Julia Dantas","Julia Dantas não sabe muito sobre a onda dos bebês reborn nem como poderia colaborar com esta reportagem. Mas a narradora de “A Mulher de Dois Esqueletos”, o mais recente livro da autora gaúcha, lançado pela Dublinense no ano passado, é uma escritora que está chegando aos 40 anos e questionando se ela quer ser mãe, se cabe um bebê em sua vida. Então, ela lembra de um filme americano no qual alunas de uma escola recebem bonecas, às quais tinham que cuidar, como parte de um programa de prevenção à gravidez na adolescência. Assim, instintivamente, ela cria a sua própria boneca. Não, ela não vai a uma maternidade de bebês reborn adquirir seu exemplar, mas imprime um amontoado de dúvidas sobre ter um filho e amassa os papeis. Esta é sua filha. Reborns, papel amassado e pressões reais: a maternidade incompleta na obra de Julia Dantas
Em “A Mulher de Dois Esqueletos”, a personagem criada pela escritora gaúcha usou uma boneca para avaliar se sua vida teria espaço para um filho

Julia Dantas não sabe muito sobre a onda dos bebês reborn nem como poderia colaborar com esta reportagem. Mas a narradora de “A Mulher de Dois Esqueletos”, o mais recente livro da autora gaúcha, lançado pela Dublinense no ano passado, é uma escritora que está chegando aos 40 anos e questionando se ela quer ser mãe, se cabe um bebê em sua vida. Então, ela lembra de um filme americano no qual alunas de uma escola recebem bonecas, às quais tinham que cuidar, como parte de um programa de prevenção à gravidez na adolescência. Assim, instintivamente, ela cria a sua própria boneca. Não, ela não vai a uma maternidade de bebês reborn adquirir seu exemplar, mas imprime um amontoado de dúvidas sobre ter um filho e amassa os papeis. Esta é sua filha.

Julia não lembra o nome do filme mencionado no livro, mas confirma que ele é real: deve ser uma produção dos anos 1980 ou 1990, que ela viu na televisão. Afinal, Julia, assim como sua personagem, tem quase 40 anos. Não descobrimos qual é o filme, mas outro exemplo da ficção nos aponta que a prática de cuidar de bonecos (ou outros objetos) talvez seja comum nos programas de educação sexual de colégios norte-americanos.

👀Mais estranho que a ficção
Em um episódio da série “Todo mundo odeia o Chris”, exibida no Brasil pela Rede Record, o protagonista deve zelar por um frágil ovo, tarefa que se torna mais complexa com a intervenção da mãe, que, afinal, não quer “criar neto nenhum”. Porém, enquanto Rochelle, mãe de três adolescentes, não quer mais bebês em casa, a narradora criada por Julia sequer sabe se quer ter um. Ela voluntariamente carrega a boneca, que parece demandar mais energia até que sua cachorra, a quem de fato precisa levar para passear e pesquisar hospedagem em hotel para poder viajar.

A boneca de papel amassado é, na estética, bem diferente dos bebês hiper realistas, cujas histórias vêm dominando a Internet nas últimas semanas. Mas, assim como os relatos sobre quem leva seu reborn a toda a parte, de encontros no parque a consultas médicas, a narradora de Julia decide carregar seu bebê consigo, mantê-lo à vista e aquecido. Ela quer testar a existência do bebê em sua rotina, não muito diferente do que alegam algumas famosas que “adotaram” os reborn para “treinar a maternidade”, como Gracyanne Barbosa e Nicole Bahls. “A personagem está tentando descobrir se um nenê caberia na vida dela, na rotina dela. A boneca cumpre esse papel, talvez não tanto de treinar habilidades, mas de ensaiar para ver se dá para abrir esse espaço na vida. Talvez os bonecos reborn também tenham isso”, avalia a escritora. Dilema feminino
Julia não esperava uma comparação entre a nova febre do momento e a criação de sua narradora. “O que a personagem faz é o total oposto de ultra realismo, é um papel amassado!”, diverte-se. Mas topou conversar com a gente para tentarmos traçar um paralelo entre as experiências com a boneca do livro e com o bebê reborn, analisar o caráter consumista dessa moda e frisar as diferenças que marcam o desejo - ou não - de ter filhos entre homens e mulheres. Confira a entrevista:

Correio do Povo: Você está a par da nova febre de bonecos realistas de bebês, os chamados reborn?

Julia Dantas: De bebês reborn eu não sei nada, só sei que é febre. De repente virou um assunto, viralizou, pauta de programa de TV. Vi alguma matéria que falava de uns encontros de pessoas que têm os bebês reborn. E ouvi toda uma polêmica de alguém, supostamente, tentar levar no posto de saúde, que eu nem sei se é verdade ou não, me pareceu coisa de Internet. Me pareceu fake. Mas vi que o tema aconteceu, que de repente era assunto.

CP: Já tinha feito ou ouvido alguma analogia com a experiência da narradora de ""A mulher de dois esqueletos""? ",https://www.correiodopovo.com.br/bellamais/carreira/reborns-papel-amassado-e-press%C3%B5es-reais-a-maternidade-incompleta-na-obra-de-julia-dantas-1.1612629,emocional ,27/05/2025,
Salvador lança primeira creche de bebê reborn; saiba como matricular seu pequeno,"Os problemas dos pais e mães de bebês reborn que estavam preocupados em deixar seus pequenos sozinhos acabaram: Salvador lança sua primeira creche preparada especialmente para eles.

O proprietário se chama André e contou ao BNews um pouco de sua dinâmica. De acordo com o empreendedor, a ideia surgiu por tomar conta da filha de 11 anos e observar seu dia a dia. O dono da creche afirmou que o negócio começou agora. ""Divulguei em alguns grupos, mas, em breve, vou criar minha página no Instagram e no Facebook”, informou. Localizada no Cabula VI, a creche de André tem, segundo ele, o foco de ajudar os pais que quiserem deixar seus bebês em um lugar seguro. ""Aí, deixa aqui e eu passeio com eles, levo no parque…"", garantiu. Ainda sem nenhum bebê reborn matriculado, a creche iniciou seus trabalhos nesta sexta-feira (23) e o proprietário divulgou sua estrutura em grupos de whatsapp. Inicialmente, o local irá funcionar das 13h às 18h e, posteriormente, ficará aberto apenas das 08h às 17h, de segunda a sexta-feira. Aos sábados, o proprietário afirma que funcionará até o meio-dia.

Os valores para matricular o bebê estão em promoção: Os 50 primeiros pais  que contratarem os serviços irão pagar R$300. Em caso de bebês que forem irmãos, haverá uma promoção, onde os dois pagam R$500.

O empreendedor afirma que “viu a oportunidade e decidiu investir”. Apesar de não ter espaço em sua residência, ele afirma que a estrutura do condomínio é suficiente para dar conforto aos pequenos. ",https://www.bnews.com.br/noticias/salvador/salvador-lanca-primeira-creche-de-bebe-reborn-saiba-como-matricular-seu-pequeno.html,comercial,23/05/2025,
Padre Fábio de Melo e a bebê reborn com Síndrome de Down,"As bonecas de bebê reborn, conhecidas por sua aparência realista, têm conquistado admiradores ao redor do mundo e entre eles, destaca-se a história do padre Fábio de Melo, que encontrou nessas bonecas uma forma de homenagear sua mãe. A relação começou há cerca de duas décadas, quando ele presenteou sua mãe com uma dessas bonecas, marcando o início de uma tradição familiar. O padre Fábio de Melo, em suas viagens aos Estados Unidos, recebia as bonecas de um amigo que possuía uma loja de artigos infantis. A intenção era proporcionar à mãe, que teve uma infância marcada pela pobreza, a alegria de ter uma boneca. Essa prática se tornou um gesto simbólico de carinho e lembrança, especialmente após o falecimento da mãe.

Por que padro Fábio de Melo escolheu uma bebê reborn com Síndrome de Down?
Em sua última visita à loja, o padre se deparou com uma boneca especial: uma bebê reborn com síndrome de Down.

A escolha por essa boneca não foi aleatória. Ele a viu como uma representação das qualidades de sua mãe, uma mulher sensível e especial. A decisão de levar essa boneca para casa foi uma forma de homenagear a memória materna, reconhecendo a sensibilidade que ambas, a boneca e sua mãe, simbolizavam. Qual o impacto das bebês reborn na vida de pessoas como o padre Fábio de Melo?
As bonecas reborn têm um impacto significativo na vida de muitas pessoas. Elas são utilizadas em terapias para idosos, ajudando a combater a solidão e a ansiedade. Além disso, servem como ferramentas educativas para crianças, ensinando sobre cuidados e responsabilidade. A escolha de uma boneca com características específicas, como a síndrome de Down, pode promover a inclusão e a aceitação da diversidade.

Como as bonecas reborn se tornaram populares?
A popularidade das bonecas reborn cresceu significativamente nos últimos anos. Sua origem remonta aos anos 90, quando artistas começaram a modificar bonecas para torná-las mais realistas. Com o tempo, a técnica se aperfeiçoou, e as bonecas passaram a ser colecionadas por entusiastas e utilizadas em diversas áreas, desde o entretenimento até a terapia.

O show “Este Sou Eu” de padre Fábio de Melo
Além de sua relação com as bonecas reborn, o padre Fábio de Melo também é conhecido por seu trabalho na música. Ele está atualmente em turnê com o show “Este Sou Eu”, que inclui canções como “Terra Seca” e “Tudo é do Pai”. A apresentação em João Pessoa é uma oportunidade para os fãs apreciarem seu talento musical e sua mensagem de fé e esperança. Os ingressos para o show estão disponíveis online, permitindo que mais pessoas tenham acesso a essa experiência única.

O evento promete ser uma celebração da música e da espiritualidade, características marcantes do trabalho do padre. ",https://news.google.com/read/CBMiogFBVV95cUxQRlpWNWRid1Z2RnJPM052R08zMGJIc1NSQWhVbXVSa1JCTmJoTmxySl9JY2JPREpEb09GS25GbEc0Vl8wcXFhWTFnU3dITGt5QVVUM3I4Z2x0cGw5VDJ1SElfSzNHanlzTXRoUzZKUjZkamhHYVUtYkdUaGxITm5MVE05eGh6VVpudUlkdEhPTmF0X1ZIM002Qkd2NHVranU5ZWc?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,emocional,17/05/2025,
